AverageTemperature,City,Country,Month,Year
25.122,2,Mexico,1,1912
23.424,2,Mexico,2,1912
25.164,2,Mexico,3,1912
25.628,2,Mexico,4,1912
26.32,2,Mexico,5,1912
26.319,2,Mexico,6,1912
26.773,2,Mexico,7,1912
26.975,2,Mexico,8,1912
26.59,2,Mexico,9,1912
26.84,2,Mexico,10,1912
25.048,2,Mexico,11,1912
25.989,2,Mexico,12,1912
24.918,2,Mexico,1,1913
24.467,2,Mexico,2,1913
24.191,2,Mexico,3,1913
23.188,2,Mexico,4,1913
24.847,2,Mexico,5,1913
26.04,2,Mexico,6,1913
26.357,2,Mexico,7,1913
26.94,2,Mexico,8,1913
26.811,2,Mexico,9,1913
26.661,2,Mexico,10,1913
26.498,2,Mexico,11,1913
25.987,2,Mexico,12,1913
24.702,2,Mexico,1,1914
24.673,2,Mexico,2,1914
23.633,2,Mexico,3,1914
23.788,2,Mexico,4,1914
25.01,2,Mexico,5,1914
26.448,2,Mexico,6,1914
27.157,2,Mexico,7,1914
27.451,2,Mexico,8,1914
26.493,2,Mexico,9,1914
27.054,2,Mexico,10,1914
26.851,2,Mexico,11,1914
26.542,2,Mexico,12,1914
24.669,2,Mexico,1,1915
24.508,2,Mexico,2,1915
23.112,2,Mexico,3,1915
24.295,2,Mexico,4,1915
26.97,2,Mexico,5,1915
28.086,2,Mexico,6,1915
27.461,2,Mexico,7,1915
27.214,2,Mexico,8,1915
26.551,2,Mexico,9,1915
26.25,2,Mexico,10,1915
26.949,2,Mexico,11,1915
25.733,2,Mexico,12,1915
26.036,2,Mexico,1,1916
24.566,2,Mexico,2,1916
24.309,2,Mexico,3,1916
24.036,2,Mexico,4,1916
26.396,2,Mexico,5,1916
27.76,2,Mexico,6,1916
26.764,2,Mexico,7,1916
26.321,2,Mexico,8,1916
26.258,2,Mexico,9,1916
26.545,2,Mexico,10,1916
26.225,2,Mexico,11,1916
26.219,2,Mexico,12,1916
25.663,2,Mexico,1,1917
24.762,2,Mexico,2,1917
24.44,2,Mexico,3,1917
24.155,2,Mexico,4,1917
26.326,2,Mexico,5,1917
26.944,2,Mexico,6,1917
27.116,2,Mexico,7,1917
27.066,2,Mexico,8,1917
26.872,2,Mexico,9,1917
26.515,2,Mexico,10,1917
25.171,2,Mexico,11,1917
25.662,2,Mexico,12,1917
24.651,2,Mexico,1,1918
25.149,2,Mexico,2,1918
23.321,2,Mexico,3,1918
24.278,2,Mexico,4,1918
